name,store_view_code,url_key,path,active,is_anchor,include_in_menu,position,page_layout,display_mode,cms_block,custom_layout_update
Products,default,products,,1,1,1,1,1column,PAGE,,
Archival,default,archival,Products,1,1,1,1,1column,PAGE,,
AV Storage,default,av-storage,Products/Archival,1,1,1,1,1column,PAGE,,
Conservation,default,conservation,Products/Archival,1,1,1,2,1column,PAGE,,
Archival Adhesive,default,archival-adhesive,Products/Archival/Conservation,1,1,0,1,2columns-left,PRODUCTS,,
Archival Cloth Gloves,default,archival-cloth-gloves,Products/Archival/Conservation,1,1,0,2,2columns-left,PRODUCTS,,
Book and Pamphlet Preservation,default,book-and-pamphlet-preservation,Products/Archival/Conservation,1,1,0,3,2columns-left,PRODUCTS,,
Document Storage,default,document-storage,Products/Archival,1,1,1,3,1column,PAGE,,
Archival Document Cases,default,archival-document-cases,Products/Archival/Document Storage,1,1,0,1,2columns-left,PRODUCTS,,
Archival File Folders,default,archival-file-folders,Products/Archival/Document Storage,1,1,0,2,2columns-left,PRODUCTS,,
Archival Storage Boxes,default,archival-storage-boxes,Products/Archival/Document Storage,1,1,0,3,2columns-left,PRODUCTS,,
Microfilm & Microfiche,default,microfilm-microfiche,Products/Archival,1,1,1,4,1column,PAGE,,
Pamphlet Protection,default,pamphlet-protection,Products/Archival,1,1,1,5,1column,PAGE,,
Archival Pamphlet Boxes,default,archival-pamphlet-boxes,Products/Archival/Pamphlet Protection,1,1,0,1,2columns-left,PRODUCTS,,
Arts & Crafts,default,arts-crafts,Products,1,1,1,2,1column,PAGE,,
Coloring Supplies,default,coloring-supplies,Products/Arts & Crafts,1,1,1,1,1column,PAGE,,
Colored Pencils,default,colored-pencils,Products/Arts & Crafts/Coloring Supplies,1,1,0,1,2columns-left,PRODUCTS,,
Crayons,default,crayons,Products/Arts & Crafts/Coloring Supplies,1,1,0,2,2columns-left,PRODUCTS,,
Markers,default,markers,Products/Arts & Crafts/Coloring Supplies,1,1,0,3,2columns-left,PRODUCTS,,
Paper,default,paper,Products/Arts & Crafts,1,1,1,1,1column,PAGE,,
Construction Paper,default,construction-paper,Products/Arts & Crafts/Paper,1,1,0,1,2columns-left,PRODUCTS,,
Paper Racks,default,paper-racks,Products/Arts & Crafts/Paper,1,1,0,2,2columns-left,PRODUCTS,,
Paper Rolls,default,paper-rolls,Products/Arts & Crafts/Paper,1,1,0,3,2columns-left,PRODUCTS,,
Poster Board,default,poster-board,Products/Arts & Crafts/Paper,1,1,0,4,2columns-left,PRODUCTS,,
Specialty Paper,default,specialty-paper,Products/Arts & Crafts/Paper,1,1,0,5,2columns-left,PRODUCTS,,
Project Supplies,default,project-supplies,Products/Arts & Crafts,1,1,1,2,1column,PAGE,,
Button Making,default,button-making,Products/Arts & Crafts/Project Supplies,1,1,0,1,2columns-left,PRODUCTS,,
Craft Supplies,default,craft-supplies,Products/Arts & Crafts/Project Supplies,1,1,0,2,2columns-left,PRODUCTS,,
Paint & Clay,default,paint-clay,Products/Arts & Crafts/Project Supplies,1,1,0,3,2columns-left,PRODUCTS,,
Shape Cutting,default,shape-cutting,Products/Arts & Crafts,1,1,1,3,1column,PAGE,,
Cricut Cutting Machines,default,cricut-cutting-machines,Products/Arts & Crafts/Shape Cutting,1,1,0,1,2columns-left,PRODUCTS,,
Die Cutting Machines,default,die-cutting-machines,Products/Arts & Crafts/Shape Cutting,1,1,0,2,2columns-left,PRODUCTS,,
Die Shapes,default,die-shapes,Products/Arts & Crafts/Shape Cutting,1,1,0,3,2columns-left,PRODUCTS,,
Tools,default,tools,Products/Arts & Crafts/Shape Cutting,1,1,0,4,2columns-left,PRODUCTS,,
Audio Visual,default,audio-visual,Products,1,1,1,3,1column,PAGE,,
Audio,default,audio,Products/Audio Visual,1,1,1,1,1column,PAGE,,
Accessories,default,accessories,Products/Audio Visual/Audio,1,1,0,1,2columns-left,PRODUCTS,,
Boom Boxes,default,boom-boxes,Products/Audio Visual/Audio,1,1,0,2,2columns-left,PRODUCTS,,
Digital Voice Recorders,default,digital-voice-recorders,Products/Audio Visual/Audio,1,1,0,3,2columns-left,PRODUCTS,,
Docking Stations,default,docking-stations,Products/Audio Visual/Audio,1,1,0,4,2columns-left,PRODUCTS,,
MP3 Players,default,mp3-players,Products/Audio Visual/Audio,1,1,0,5,2columns-left,PRODUCTS,,
Portable Speakers,default,portable-speakers,Products/Audio Visual/Audio,1,1,0,6,2columns-left,PRODUCTS,,
Shoe Box Players/Recorders,default,shoe-box-players-recorders,Products/Audio Visual/Audio,1,1,0,7,2columns-left,PRODUCTS,,
AV Media Packaging,default,av-media-packaging,Products/Audio Visual,1,1,1,2,1column,PAGE,,
Audiocassette Packaging,default,audiocassette-packaging,Products/Audio Visual/AV Media Packaging,1,1,0,1,2columns-left,PRODUCTS,,
Browsing System Storage,default,browsing-system-storage,Products/Audio Visual/AV Media Packaging,1,1,0,2,2columns-left,PRODUCTS,,
CD Packaging,default,cd-packaging,Products/Audio Visual/AV Media Packaging,1,1,0,3,2columns-left,PRODUCTS,,
DVD Packaging,default,dvd-packaging,Products/Audio Visual/AV Media Packaging,1,1,0,4,2columns-left,PRODUCTS,,
Hanging Bags,default,hanging-bags,Products/Audio Visual/AV Media Packaging,1,1,0,5,2columns-left,PRODUCTS,,
Media Pouches,default,media-pouches,Products/Audio Visual/AV Media Packaging,1,1,0,6,2columns-left,PRODUCTS,,
Multimedia Packaging,default,multimedia-packaging,Products/Audio Visual/AV Media Packaging,1,1,0,7,2columns-left,PRODUCTS,,
Security Packaging,default,security-packaging,Products/Audio Visual/AV Media Packaging,1,1,0,8,2columns-left,PRODUCTS,,
Video Packaging,default,video-packaging,Products/Audio Visual/AV Media Packaging,1,1,0,9,2columns-left,PRODUCTS,,
Cameras & Camcorders,default,cameras-camcorders,Products/Audio Visual,1,1,1,3,1column,PAGE,,
Camcorders,default,camcorders,Products/Audio Visual/Cameras & Camcorders,1,1,0,1,2columns-left,PRODUCTS,,
Cameras,default,cameras,Products/Audio Visual/Cameras & Camcorders,1,1,0,2,2columns-left,PRODUCTS,,
Tripods & Accessories,default,tripods-accessories,Products/Audio Visual/Cameras & Camcorders,1,1,0,3,2columns-left,PRODUCTS,,
Disc Cleaning & Repair,default,disc-cleaning-repair,Products/Audio Visual,1,1,1,4,1column,PAGE,,
Disc Cleaning,default,disc-cleaning,Products/Audio Visual/Disc Cleaning & Repair,1,1,0,1,2columns-left,PRODUCTS,,
Disc Protection,default,disc-protection,Products/Audio Visual/Disc Cleaning & Repair,1,1,0,2,2columns-left,PRODUCTS,,
Disc Repair,default,disc-repair,Products/Audio Visual/Disc Cleaning & Repair,1,1,0,3,2columns-left,PRODUCTS,,
Headphones,default,headphones,Products/Audio Visual,1,1,1,5,1column,PAGE,,
Accessories,default,accessories,Products/Audio Visual/Headphones,1,1,0,1,2columns-left,PRODUCTS,,
Headphone Bundles,default,headphone-bundles,Products/Audio Visual/Headphones,1,1,0,2,2columns-left,PRODUCTS,,
Mono,default,mono,Products/Audio Visual/Headphones,1,1,0,3,2columns-left,PRODUCTS,,
Stereo,default,stereo,Products/Audio Visual/Headphones,1,1,0,4,2columns-left,PRODUCTS,,
Stereo/Mono,default,stereo-mono,Products/Audio Visual/Headphones,1,1,0,5,2columns-left,PRODUCTS,,
Wireless,default,wireless,Products/Audio Visual/Headphones,1,1,0,6,2columns-left,PRODUCTS,,
Listening Centers,default,listening-centers,Products/Audio Visual,1,1,1,6,1column,PAGE,,
Boom Box,default,boom-box,Products/Audio Visual/Listening Centers,1,1,0,1,2columns-left,PRODUCTS,,
MP3,default,mp3,Products/Audio Visual/Listening Centers,1,1,0,2,2columns-left,PRODUCTS,,
PA Systems,default,pa-systems,Products/Audio Visual,1,1,1,7,1column,PAGE,,
PA System Accessories,default,pa-system-accessories,Products/Audio Visual/PA Systems,1,1,0,1,2columns-left,PRODUCTS,,
Portable,default,portable,Products/Audio Visual/PA Systems,1,1,0,2,2columns-left,PRODUCTS,,
Tablets & Phones,default,tablets-phones,Products/Audio Visual,1,1,1,8,1column,PAGE,,
Charging Station,default,charging-station,Products/Audio Visual/Tablets & Phones,1,1,0,1,2columns-left,PRODUCTS,,
Phone Accessories,default,phone-accessories,Products/Audio Visual/Tablets & Phones,1,1,0,2,2columns-left,PRODUCTS,,
Tablet Accessories,default,tablet-accessories,Products/Audio Visual/Tablets & Phones,1,1,0,3,2columns-left,PRODUCTS,,
Tablets,default,tablets,Products/Audio Visual/Tablets & Phones,1,1,0,4,2columns-left,PRODUCTS,,
TV & Video,default,tv-video,Products/Audio Visual,1,1,1,9,1column,PAGE,,
DVD Players,default,dvd-players,Products/Audio Visual/TV & Video,1,1,0,1,2columns-left,PRODUCTS,,
TV & Video Accessories,default,tv-video-accessories,Products/Audio Visual/TV & Video,1,1,0,2,2columns-left,PRODUCTS,,
TV/DVD Combo Units,default,tv-dvd-combo-units,Products/Audio Visual/TV & Video,1,1,0,3,2columns-left,PRODUCTS,,
TVs,default,tvs,Products/Audio Visual/TV & Video,1,1,0,4,2columns-left,PRODUCTS,,
Books,default,books,Products,1,1,1,4,1column,PAGE,,
Big Books,default,big-books,Products/Books,1,1,1,1,1column,PAGE,,
Chapter Books,default,chapter-books,Products/Books,1,1,1,2,1column,PAGE,,
Children's Books,default,childrens-books,Products/Books,1,1,1,3,1column,PAGE,,
Book & Audio Sets,default,book-audio-sets,Products/Books/Children's Books,1,1,0,1,2columns-left,PRODUCTS,,
Book & Character Sets,default,book-character-sets,Products/Books/Children's Books,1,1,0,2,2columns-left,PRODUCTS,,
Picture Books,default,picture-books,Products/Books/Children's Books,1,1,0,3,2columns-left,PRODUCTS,,
Educational,default,educational,Products/Books,1,1,1,4,1column,PAGE,,
Library Skills,default,library-skills,Products/Books/Educational,1,1,0,1,2columns-left,PRODUCTS,,
Science,default,science,Products/Books/Educational,1,1,0,2,2columns-left,PRODUCTS,,
Social Studies,default,social-studies,Products/Books/Educational,1,1,0,3,2columns-left,PRODUCTS,,
Graphic Novels,default,graphic-novels,Products/Books,1,1,1,5,1column,PAGE,,
StorySacks,default,storysacks,Products/Books,1,1,1,6,1column,PAGE,,
Carpets,default,carpets,Products,1,1,1,5,1column,PAGE,,
Children's Themed Carpets,default,childrens-themed-carpets,Products/Carpets,1,1,1,1,1column,PAGE,,
Alphabet,default,alphabet,Products/Carpets/Children's Themed Carpets,1,1,0,1,2columns-left,PRODUCTS,,
Bilingual,default,bilingual,Products/Carpets/Children's Themed Carpets,1,1,0,2,2columns-left,PRODUCTS,,
Faith-based,default,faithbased,Products/Carpets/Children's Themed Carpets,1,1,0,3,2columns-left,PRODUCTS,,
Geography,default,geography,Products/Carpets/Children's Themed Carpets,1,1,0,4,2columns-left,PRODUCTS,,
Health & Guidance,default,health-guidance,Products/Carpets/Children's Themed Carpets,1,1,0,5,2columns-left,PRODUCTS,,
Licensed Character,default,licensed-character,Products/Carpets/Children's Themed Carpets,1,1,0,6,2columns-left,PRODUCTS,,
Music,default,music,Products/Carpets/Children's Themed Carpets,1,1,0,7,2columns-left,PRODUCTS,,
